Sample in Buffer,Sample in Window,TRIGGER,uav_sar_i/zynq_ultra_pl_clk_out1,uav_sar_i/zynq_ultra_pl_uart_rx_done,uav_sar_i/zynq_ultra_pl_utc_done,uav_sar_i/zynq_ultra_pl_uart_rx_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,ASCII
594,594,0,1,0,0,"C"
595,595,0,0,0,0,"C"
596,596,0,1,0,0,"C"
597,597,0,0,0,0,"C"
598,598,0,1,0,0,"C"
599,599,0,0,0,0,"C"
600,600,0,1,0,0,"C"
601,601,0,0,0,0,"C"
602,602,0,1,0,0,"C"
603,603,0,0,0,0,"C"
604,604,0,1,0,0,"C"
605,605,0,0,0,0,"C"
606,606,0,1,0,0,"C"
607,607,0,0,0,0,"C"
608,608,0,1,0,0,"C"
609,609,0,0,0,0,"C"
610,610,0,1,0,0,"C"
611,611,0,0,0,0,"C"
612,612,0,1,0,0,"C"
613,613,0,0,0,0,"C"
614,614,0,1,0,0,"C"
615,615,0,0,0,0,"C"
616,616,0,1,0,0,"C"
617,617,0,0,0,0,"C"
618,618,0,1,0,0,"C"
619,619,0,0,0,0,"C"
620,620,0,1,0,0,"C"
621,621,0,0,0,0,"C"
622,622,0,1,0,0,"C"
623,623,0,0,0,0,"C"
624,624,0,1,0,0,"C"
625,625,0,0,0,0,"C"
626,626,0,1,0,0,"C"
627,627,0,0,0,0,"C"
628,628,0,1,0,0,"C"
629,629,0,0,0,0,"C"
630,630,0,1,0,0,"C"
631,631,0,0,0,0,"C"
632,632,0,1,0,0,"C"
633,633,0,0,0,0,"C"
634,634,0,1,0,0,"C"
635,635,0,0,0,0,"C"
636,636,0,1,0,0,"C"
637,637,0,0,0,0,"C"
638,638,0,1,0,0,"C"
639,639,0,0,0,0,"C"
640,640,0,1,0,0,"C"
641,641,0,0,0,0,"C"
642,642,0,1,0,0,"C"
643,643,0,0,0,0,"C"
644,644,0,1,0,0,"C"
645,645,0,0,0,0,"C"
646,646,0,1,0,0,"C"
647,647,0,0,0,0,"C"
648,648,0,1,0,0,"C"
649,649,0,0,0,0,"C"
650,650,0,1,0,0,"C"
651,651,0,0,0,0,"C"
652,652,0,1,0,0,"C"
653,653,0,0,0,0,"C"
654,654,0,1,0,0,"C"
655,655,0,0,0,0,"C"
656,656,0,1,0,0,"C"
657,657,0,0,0,0,"C"
658,658,0,1,0,0,"C"
659,659,0,0,0,0,"C"
660,660,0,1,0,0,"C"
661,661,0,0,0,0,"C"
662,662,0,1,0,0,"C"
663,663,0,0,0,0,"C"
664,664,0,1,0,0,"C"
665,665,0,0,0,0,"C"
666,666,0,1,0,0,"C"
667,667,0,0,0,0,"C"
668,668,0,1,0,0,"C"
669,669,0,0,0,0,"C"
670,670,0,1,0,0,"C"
671,671,0,0,0,0,"C"
672,672,0,1,0,0,"C"
673,673,0,0,0,0,"C"
674,674,0,1,0,0,"C"
675,675,0,0,0,0,"C"
676,676,0,1,0,0,"C"
677,677,0,0,0,0,"C"
678,678,0,1,0,0,"C"
679,679,0,0,0,0,"C"
680,680,0,1,0,0,"C"
681,681,0,0,0,0,"C"
682,682,0,1,0,0,"C"
683,683,0,0,0,0,"C"
684,684,0,1,0,0,"C"
685,685,0,0,0,0,"C"
686,686,0,1,0,0,"C"
687,687,0,0,0,0,"C"
688,688,0,1,0,0,"C"
689,689,0,0,0,0,"C"
690,690,0,1,0,0,"C"
691,691,0,0,0,0,"C"
692,692,0,1,0,0,"C"
693,693,0,0,0,0,"C"
694,694,0,1,0,0,"C"
695,695,0,0,0,0,"C"
696,696,0,1,0,0,"C"
697,697,0,0,0,0,"C"
698,698,0,1,0,0,"C"
699,699,0,0,0,0,"C"
700,700,0,1,0,0,"C"
701,701,0,0,0,0,"C"
702,702,0,1,0,0,"C"
703,703,0,0,0,0,"C"
704,704,0,1,0,0,"C"
705,705,0,0,0,0,"C"
706,706,0,1,0,0,"C"
707,707,0,0,0,0,"C"
708,708,0,1,0,0,"C"
709,709,0,0,0,0,"C"
710,710,0,1,0,0,"C"
711,711,0,0,0,0,"C"
712,712,0,1,0,0,"C"
713,713,0,0,0,0,"C"
714,714,0,1,0,0,"C"
715,715,0,0,0,0,"C"
716,716,0,1,0,0,"C"
717,717,0,0,0,0,"C"
718,718,0,1,0,0,"C"
719,719,0,0,0,0,"C"
720,720,0,1,0,0,"C"
721,721,0,0,0,0,"C"
722,722,0,1,0,0,"C"
723,723,0,0,0,0,"C"
724,724,0,1,0,0,"C"
725,725,0,0,0,0,"C"
726,726,0,1,0,0,"C"
727,727,0,0,0,0,"C"
728,728,0,1,0,0,"C"
729,729,0,0,0,0,"C"
730,730,0,1,0,0,"C"
731,731,0,0,0,0,"C"
732,732,0,1,0,0,"C"
733,733,0,0,0,0,"C"
734,734,0,1,0,0,"C"
735,735,0,0,0,0,"C"
736,736,0,1,0,0,"C"
737,737,0,0,0,0,"C"
738,738,0,1,0,0,"C"
739,739,0,0,0,0,"C"
740,740,0,1,0,0,"C"
741,741,0,0,0,0,"C"
742,742,0,1,0,0,"C"
743,743,0,0,0,0,"C"
744,744,0,1,0,0,"C"
745,745,0,0,0,0,"C"
746,746,0,1,0,0,"C"
747,747,0,0,0,0,"C"
748,748,0,1,0,0,"C"
749,749,0,0,0,0,"C"
750,750,0,1,0,0,"C"
751,751,0,0,0,0,"C"
752,752,0,1,0,0,"C"
753,753,0,0,0,0,"C"
754,754,0,1,0,0,"C"
755,755,0,0,0,0,"C"
756,756,0,1,0,0,"C"
757,757,0,0,0,0,"C"
758,758,0,1,0,0,"C"
759,759,0,0,0,0,"C"
760,760,0,1,0,0,"C"
761,761,0,0,0,0,"C"
762,762,0,1,0,0,"C"
763,763,0,0,0,0,"C"
764,764,0,1,0,0,"C"
765,765,0,0,0,0,"C"
766,766,0,1,0,0,"C"
767,767,0,0,0,0,"C"
768,768,0,1,0,0,"C"
769,769,0,0,0,0,"C"
770,770,0,1,0,0,"C"
771,771,0,0,0,0,"C"
772,772,0,1,0,0,"C"
773,773,0,0,0,0,"C"
774,774,0,1,0,0,"C"
775,775,0,0,0,0,"C"
776,776,0,1,0,0,"C"
777,777,0,0,0,0,"C"
778,778,0,1,0,0,"C"
779,779,0,0,0,0,"C"
780,780,0,1,0,0,"C"
781,781,0,0,0,0,"C"
782,782,0,1,0,0,"C"
783,783,0,0,0,0,"C"
784,784,0,1,0,0,"C"
785,785,0,0,0,0,"C"
786,786,0,1,0,0,"C"
787,787,0,0,0,0,"C"
788,788,0,1,0,0,"C"
789,789,0,0,0,0,"C"
790,790,0,1,0,0,"C"
791,791,0,0,0,0,"C"
792,792,0,1,0,0,"C"
793,793,0,0,0,0,"C"
794,794,0,1,0,0,"C"
795,795,0,0,0,0,"C"
796,796,0,1,0,0,"C"
797,797,0,0,0,0,"C"
798,798,0,1,0,0,"C"
799,799,0,0,0,0,"C"
800,800,0,1,0,0,"C"
801,801,0,0,0,0,"C"
802,802,0,1,0,0,"C"
803,803,0,0,0,0,"C"
804,804,0,1,0,0,"C"
805,805,0,0,0,0,"C"
806,806,0,1,0,0,"C"
807,807,0,0,0,0,"C"
808,808,0,1,0,0,"C"
809,809,0,0,0,0,"C"
810,810,0,1,0,0,"C"
811,811,0,0,0,0,"C"
812,812,0,1,0,0,"C"
813,813,0,0,0,0,"C"
814,814,0,1,0,0,"C"
815,815,0,0,0,0,"C"
816,816,0,1,0,0,"C"
817,817,0,0,0,0,"C"
818,818,0,1,0,0,"C"
